Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,MarketCap,Parameter1,Parameter2,Parameter3,ReturnClose
2000-03-06,1409.170044,1409.73999,1384.75,1391.280029,1391.280029,1029000000,2000,3,6,1450035975276.0,0.019837043916186348,-0.012695426698979717,-0.1054507519777449,-0.012695426698979717
2000-03-07,1391.280029,1399.209961,1349.98999,1355.619995,1355.619995,1314100000,2000,3,7,1828281086108.9,-0.012695426698979717,-0.025631097447457174,0.2770651117589893,-0.025631097447457174
2000-03-08,1355.619995,1373.790039,1346.619995,1366.699951,1366.699951,1203000000,2000,3,8,1630810853985.0,-0.025631097447457174,0.008173349493860282,-0.08454455520888826,0.008173349493860282
2000-03-09,1366.699951,1401.819946,1357.880005,1401.689941,1401.689941,1123000000,2000,3,9,1534804044973.0,0.008173349493860282,0.02560180819088953,-0.06650041562759768,0.02560180819088953
2000-03-10,1401.689941,1413.459961,1392.069946,1395.069946,1395.069946,1138800000,2000,3,10,1596244504810.8,0.02560180819088953,-0.004722866881157195,0.01406945681211047,-0.004722866881157195
2000-03-13,1395.069946,1398.390015,1364.839966,1383.619995,1383.619995,1016100000,2000,3,13,1417530572130.6,-0.004722866881157195,-0.008207438654118993,-0.10774499473129606,-0.008207438654118993
2000-03-14,1383.619995,1395.150024,1359.150024,1359.150024,1359.150024,1094000000,2000,3,14,1513680274530.0,-0.008207438654118993,-0.01768547078564009,0.07666568251156392,-0.01768547078564009
2000-03-15,1359.150024,1397.98999,1356.98999,1392.140015,1392.140015,1302800000,2000,3,15,1770700651267.2,-0.01768547078564009,0.024272516217827,0.1908592321755027,0.024272516217827
2000-03-16,1392.150024,1458.469971,1392.150024,1458.469971,1458.469971,1482300000,2000,3,16,2063583980575.2,0.02427988037912132,0.047638505805176035,0.13778016579674546,0.04764603795976652
2000-03-17,1458.469971,1477.329956,1453.319946,1464.469971,1464.469971,1295100000,2000,3,17,1888864459442.1,0.047638505805176035,0.004113900264868686,-0.12629022465088036,0.004113900264868686
2000-03-20,1464.469971,1470.300049,1448.48999,1456.630005,1456.630005,920800000,2000,3,20,1348483949296.8,0.004113900264868686,-0.005353449476773187,-0.28901243147247313,-0.005353449476773187
2000-03-21,1456.630005,1493.920044,1446.060059,1493.869995,1493.869995,1065900000,2000,3,21,1552621922329.5,-0.005353449476773187,0.025565853972642882,0.15758036490008687,0.025565853972642882
2000-03-22,1493.869995,1505.079956,1487.329956,1500.640015,1500.640015,1075000000,2000,3,22,1605910244625.0,0.025565853972642882,0.004531866911216653,0.008537386246364465,0.004531866911216653
2000-03-23,1500.640015,1532.5,1492.390015,1527.349976,1527.349976,1078300000,2000,3,23,1618140128174.5,0.004531866911216653,0.017799046228951898,0.0030697674418604937,0.017799046228951898
2000-03-24,1527.349976,1552.869995,1516.829956,1527.459961,1527.459961,1052200000,2000,3,24,1607077644747.2,0.017799046228951898,7.201034584625177e-05,-0.0242047667624965,7.201034584625177e-05
2000-03-27,1527.459961,1534.630005,1518.459961,1523.859985,1523.859985,901000000,2000,3,27,1376241424861.0,7.201034584625177e-05,-0.00235683820978394,-0.14369891655578793,-0.00235683820978394
2000-03-28,1523.859985,1527.359985,1507.089966,1507.72998,1507.72998,959100000,2000,3,28,1461534111613.5,-0.00235683820978394,-0.010584965258471524,0.06448390677025517,-0.010584965258471524
2000-03-29,1507.72998,1521.449951,1497.449951,1508.52002,1508.52002,1061900000,2000,3,29,1601058465762.0,-0.010584965258471524,0.0005239930295741768,0.10718381816286104,0.0005239930295741768
2000-03-30,1508.52002,1517.380005,1474.630005,1487.920044,1487.920044,1193400000,2000,3,30,1800267791868.0,0.0005239930295741768,-0.0136557524771862,0.12383463602975797,-0.0136557524771862
2000-03-31,1487.920044,1519.810059,1484.380005,1498.579956,1498.579956,1227400000,2000,3,31,1826273062005.5999,-0.0136557524771862,0.007164304320642634,0.028490028490028463,0.007164304320642634
2000-04-03,1498.579956,1507.189941,1486.959961,1505.969971,1505.969971,1021700000,2000,4,3,1531099141045.2,0.007164304320642634,0.004931345151396149,-0.16759002770083098,0.004931345151396149
2000-04-04,1505.97998,1526.449951,1416.410034,1494.72998,1494.72998,1515460000,2000,4,4,2282252420490.8003,0.004938024141035502,-0.007470218827211772,0.4832729764118626,-0.007463622261031033
2000-04-05,1494.72998,1506.550049,1478.050049,1487.369995,1487.369995,1110300000,2000,4,5,1659598696794.0,-0.007470218827211772,-0.0049239562318807995,-0.2673511673023372,-0.0049239562318807995
2000-04-06,1487.369995,1511.76001,1487.369995,1501.339966,1501.339966,1008000000,2000,4,6,1499268954960.0,-0.0049239562318807995,0.009392398022658677,-0.09213726019994595,0.009392398022658677
2000-04-07,1501.339966,1518.680054,1501.339966,1516.349976,1516.349976,891600000,2000,4,7,1338594713685.6,0.009392398022658677,0.00999774224354466,-0.11547619047619051,0.00999774224354466
2000-04-10,1516.349976,1527.189941,1503.349976,1504.459961,1504.459961,853700000,2000,4,10,1294507974511.2,0.00999774224354466,-0.007841207628970226,-0.04250785105428445,-0.007841207628970226
2000-04-11,1504.459961,1512.800049,1486.780029,1500.589966,1500.589966,971400000,2000,4,11,1461432406115.4,-0.007841207628970226,-0.0025723482846480294,0.13787044629260858,-0.0025723482846480294
2000-04-12,1500.589966,1509.079956,1466.150024,1467.170044,1467.170044,1175900000,2000,4,12,1764543741019.4,-0.0025723482846480294,-0.022271188504002115,0.21052089767346094,-0.022271188504002115
2000-04-13,1467.170044,1477.52002,1439.339966,1440.51001,1440.51001,1032000000,2000,4,13,1514119485408.0,-0.022271188504002115,-0.018171059386760446,-0.1223743515605068,-0.018171059386760446
2000-04-14,1440.51001,1440.51001,1339.400024,1356.560059,1356.560059,1279700000,2000,4,14,1843420659797.0,-0.018171059386760446,-0.05827793657608815,0.24001937984496124,-0.05827793657608815
2000-04-17,1356.560059,1401.530029,1346.5,1401.439941,1401.439941,1204700000,2000,4,17,1634247903077.2998,-0.05827793657608815,0.033083593831506164,-0.05860748612956157,0.033083593831506164
2000-04-18,1401.439941,1441.609985,1397.810059,1441.609985,1441.609985,1109400000,2000,4,18,1554757470545.4001,0.033083593831506164,0.02866340741747142,-0.07910683157632603,0.02866340741747142
2000-04-19,1441.609985,1447.689941,1424.26001,1427.469971,1427.469971,1001400000,2000,4,19,1443628238979.0,0.02866340741747142,-0.009808487834523483,-0.09734991887506761,-0.009808487834523483
2000-04-20,1427.469971,1435.48999,1422.079956,1434.540039,1434.540039,896200000,2000,4,20,1279298588010.2,-0.009808487834523483,0.00495286636050718,-0.10505292590373472,0.00495286636050718
2000-04-24,1434.540039,1434.540039,1407.130005,1429.859985,1429.859985,868700000,2000,4,24,1246184931879.3,0.00495286636050718,-0.0032624073729321523,-0.03068511492970316,-0.0032624073729321523
2000-04-25,1429.859985,1477.670044,1429.859985,1477.439941,1477.439941,1071100000,2000,4,25,1531523029933.5,-0.0032624073729321523,0.0332759546383139,0.23299182686773334,0.0332759546383139
2000-04-26,1477.439941,1482.939941,1456.97998,1460.98999,1460.98999,999600000,2000,4,26,1476848965023.6,0.0332759546383139,-0.01113409116912456,-0.06675380450004664,-0.01113409116912456
2000-04-27,1460.98999,1469.209961,1434.810059,1464.920044,1464.920044,1111000000,2000,4,27,1623159878890.0,-0.01113409116912456,0.002689993789758871,0.11144457783113237,0.002689993789758871
2000-04-28,1464.920044,1473.619995,1448.150024,1452.430054,1452.430054,984600000,2000,4,28,1442360275322.4,0.002689993789758871,-0.008526055774276786,-0.11377137713771379,-0.008526055774276786
2000-05-01,1452.430054,1481.51001,1452.430054,1468.25,1468.25,966300000,2000,5,1,1403483161180.2,-0.008526055774276786,0.01089205360108858,-0.018586227909811126,0.01089205360108858
2000-05-02,1468.25,1468.25,1445.219971,1446.290039,1446.290039,1011500000,2000,5,2,1485134875000.0,0.01089205360108858,-0.014956554401498345,0.04677636344820457,-0.014956554401498345
